"co_prod"|"cod_parent"|"Nombre"|"presentacion"|"cont_rec"|"tipo_cont"|"dosis"|"cant_comp"|"cod_isp"|"vigencia"|"droga"|"grupo"|"temp"
1905|0|"BRONCARD 60 mg/ mL sol. para gotas orales"||1|6|0|0|"'NULL'"|1|"(Levodropropizina)"|333|1
1906|1905||"15 ml"|1|6|55|6|"'NULL'"|1|"(Levodropropizina)"||1
1907|0|"BRONCATOX 60 mg/10 mL jarabe"||1|6|0|0|"'NULL'"|1|"(Levodropropizina)"|333|8
1908|1907||"120 ml"|1|6|35|6|"'NULL'"|1|"(Levodropropizina)"||8
1909|0|"BRONCHO VAXOM �ADULTOs c�ps."||1|6|0|0|"'NULL'"|1|"(Lisado Bacteriano Liofilizado "|0|1
1910|1909||"10 c�ps"|1|6|17|1|"'NULL'"|1|"(Lisado Bacteriano Liofilizado ("||1
1911|0|"BRONCHO VAXOM INFANTIL c�ps."||1|6|0|0|"'NULL'"|1|"(Liofilizado Estandarizado Om-85)"|0|1
1912|1911||"30 c�ps"|1|6|17|1|"'NULL'"|1|"(Liofilizado Estandarizado Om-85)"||1
1913|0|"BRONCHO VAXOM NI�OS 3,5 mg gr�nulos �en sobres"||1|6|0|0|"'NULL'"|1|"(Liofilizado Estandarizado Om-85)"|0|1
1914|1913||"10 sobres"|1|6|75|48|"'NULL'"|1|"(Liofilizado Estandarizado Om-85)"||1
1915|1913||"30 sobres"|1|6|75|48|"'NULL'"|1|"(Liofilizado Estandarizado Om-85)"||1
1916|0|"BRONCOT 7,5 mg/mL sol. para gotas orales"||1|6|0|0|"'NULL'"|1|"(Ambroxol)"|46|2
1917|1916||"30 ml"|1|6|55|6|"'NULL'"|1|"(Ambroxol)"||2
1918|0|"BRONDILAT �4 mg comp. masticables"||1|6|0|0|"'NULL'"|1|"(Montelukast)"|394|2
1919|1918||"30 comp."|1|6|1|1|"'NULL'"|1|"(Montelukast)"||2
1920|0|"BRONDILAT 5 mg comp. masticables"||1|6|0|0|"'NULL'"|1|"(Montelukast)"|394|2
1921|1920||"30 comp."|1|6|1|1|"'NULL'"|1|"(Montelukast)"||2
1922|0|"BRONDILAT 10 mg comp. recub."||1|6|0|0|"'NULL'"|1|"(Montelukast)"|394|2
1923|1922||"30 comp."|1|6|1|1|"'NULL'"|1|"(Montelukast)"||2
1924|0|"BRONDILAT granulado 4 mg oral , en sobres"||1|6|0|0|"'NULL'"|1|"(Montelukast)"|394|2
1925|1924||"40 sobres"|1|6|75|48|"'NULL'"|1|"(Montelukast)"||2
1926|0|"BRONTAL jarabe ADULTOs"||1|6|0|0|"'NULL'"|1|"(Bromhexina//Clofedanol)"|102|1
1927|1926||"100 ml"|1|6|35|6|"'NULL'"|1|"(Bromhexina//Clofedanol)"||1
1928|0|"BRONTAL jarabe INFANTIL"||1|6|0|0|"'NULL'"|1|"(Bromhexina//Clofedanol)"|102|1
1929|1928||"100 ml"|1|6|35|6|"'NULL'"|1|"(Bromhexina//Clofedanol)"||1
1930|0|"BROPIL LF 100 mcg /dosis inhalaci�n"||1|6|0|0|"'NULL'"|1|"(Salbutamol)"|497|2
1931|1930||"200 dosis"|1|6|178|48|"'NULL'"|1|"(Salbutamol)"||2
1932|0|"BRUNIL 1 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1933|1932||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1934|0|"BRUNIL 10 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1935|1934||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1936|0|"BRUNIL 12 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1937|1936||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1938|0|"BRUNIL 2 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1939|1938||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1940|0|"BRUNIL 4 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1941|1940||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1942|0|"BRUNIL 6 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1943|1942||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1944|0|"BRUNIL 8 mg comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1945|1944||"30 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1946|0|"BRUNIL SET comp."||1|6|0|0|"'NULL'"|1|"(Iloperidona)"|0|2
1947|1946||"8 comp."|1|6|1|1|"'NULL'"|1|"(Iloperidona)"||2
1948|0|"BUDENOFALK 2 mg/dosis espuma rectal"||1|6|0|0|"'NULL'"|1|"(Budesonida)"|107|3
1949|1948||"14 aplicaciones"|1|6|340|48|"'NULL'"|1|"(Budesonida)"||3
1950|0|"BUDESYNT HFA-LA 200mcg/dosis aerosol para inhalaci�n"||1|6|0|0|"'NULL'"|1|"(Budesonida)"|107|2
1951|1950||"200 dosis"|1|6|178|48|"'NULL'"|1|"(Budesonida)"||2
1952|0|"BUFENINA comp. jalea"||1|6|0|0|"'NULL'"|1|"(Aceite de Melissa//Aceite de Pino//Aceite de Romero//Bufenina//Escina)"|0|1
1953|1952||"30 g"|1|6|135|48|"'NULL'"|1|"(Aceite De Melissa//Aceite De Pino//Aceite De Romero//Bufenina//Escina)"||1
1954|0|"BUPIVACAINA CLORHIDRATO HIPERB�RICA �15 mg/2 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|2
1955|1954||"amp 2 ml"|1|6|90|17|"'NULL'"|1|"(Bupivacaina)"||2
1956|0|"BUPIVACAINA CLORHIDRATO 5 mg/mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|2
1957|1956||"amp 20 ml"|1|6|90|17|"'NULL'"|1|"(Bupivacaina)"||2
1958|0|"BUPIVACAINA CLORHIDRATO �50 mg/10 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|2
1959|1958||"1 Fco amp 10 ml"|1|6|105|29|"'NULL'"|1|"(Bupivacaina)"||2
1960|0|"BUPIVACAINA CLORHIDRATO �0,75% sol. inyect.espinal"||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|9
1961|1960||"amp 2 ml"|1|6|90|17|"'NULL'"|1|"(Bupivacaina)"||9
1962|0|"BUPIVAN RAQUIDEA HIPERB�RICA 7,5 mg/mL �sol. inyect."||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|2
1963|1962||"amp 2 ml"|1|6|90|17|"'NULL'"|1|"(Bupivacaina)"||2
1964|0|"BUPIVAN 0,5% sol. inyect."||1|6|0|0|"'NULL'"|1|"(Bupivacaina)"|0|2
1965|1964||"1 Fco amp 10 ml"|1|6|105|29|"'NULL'"|1|"(Bupivacaina)"||2
1966|0|"BURNSIL 1% �crema t�pica"||1|6|0|0|"'NULL'"|1|"(Sulfadiazina)"|511|2
1967|1966||"15 g"|1|6|135|48|"'NULL'"|1|"(Sulfadiazina)"||2
1968|0|"BURTEN �10 mg comp."||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|8
1969|1968||"10 comp."|1|6|1|1|"'NULL'"|1|"(Ketorolaco Trometamol)"||8
1970|1968||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ketorolaco Trometamol)"||8
1971|0|"BURTEN SL 30 mg comp. sublinguales"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|2
1972|1971||"2 comp."|1|6|1|1|"'NULL'"|1|"(Ketorolaco Trometamol)"||2
1973|0|"BURTEN 30 mg/2 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|1
1974|1973||"amp 2 ml"|1|6|90|48|"'NULL'"|1|"(Ketorolaco Trometamol)"||1
1975|0|"BUSCAPINA COMPOSITUM comp."||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina//Metamizol Sodico)"|0|2
1976|1975||"20 comp."|1|6|1|1|"'NULL'"|1|"(N-Butilbromuro De Hioscina//Metamizol Sodico)"||2
1977|0|"BUSCAPINA COMPOSITUM sol. inyect."||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina//Metamizol Sodico)"|0|1
1978|1977||"amp 5 ml"|1|6|90|17|"'NULL'"|1|"(N-Butilbromuro De Hioscina//Metamizol Sodico)"||1
1979|0|"BUSCAPINA 10 mg grageas"||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina )"|0|2
1980|1979||"20 grageas"|1|6|9|1|"'NULL'"|1|"(N-Butilbromuro De Hioscina )"||2
1981|0|"BUSCAPINA PERLAS 10 mg c�ps.blandas"||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina )"|0|1
1982|1981||"10 c�ps"|1|6|17|1|"'NULL'"|1|"(N-Butilbromuro De Hioscina )"||1
1983|0|"BUSCAPINA PLUS comp. recub."||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina//Paracetamol)"|0|2
1984|1983||"10 comp."|1|6|1|1|"'NULL'"|1|"(N-Butilbromuro De Hioscina//Paracetamol)"||2
1985|0|"BUSCAPINA 20 mg/1 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina )"|0|1
1986|1985||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(N-Butilbromuro De Hioscina )"||1
1987|0|"BUSCAPINA sol. oral para gotas"||1|6|0|0|"'NULL'"|1|"(N-Butilbromuro de Hioscina )"|0|1
1988|1987||"20 ml"|1|6|55|6|"'NULL'"|1|"(N-Butilbromuro De Hioscina )"||1
1989|0|"BUSILVEX 60 mg/10 mL sol. �perfusi�n"||1|6|0|0|"'NULL'"|1|"(Busulfano)"|111|5
1990|1989||"10 ml"|1|6|192|48|"'NULL'"|1|"(Busulfano)"||5
1991|0|"BUSULFANO 2 mg comp. recub."||1|6|0|0|"'NULL'"|1|"(Busulfano)"|111|2
1992|1991||"30 comp."|1|6|1|1|"'NULL'"|1|"(Busulfano)"||2
1993|0|"BUTARTROL comp."||1|6|0|0|"'NULL'"|1|"(Ibuprofeno//Meprobamato)"|0|1
1994|1993||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ibuprofeno//Meprobamato)"||1
1995|0|"BUTON ADULTOs comp."||1|6|0|0|"'NULL'"|1|"(Atropina Sulfato//Papaverina)"|74|1
1996|1995||"10 comp."|1|6|1|1|"'NULL'"|1|"(Atropina Sulfato//Papaverina)"||1
1997|0|"BUTOTAL 100 mcg/dosis 2 inhalaci�n"||1|6|0|0|"'NULL'"|1|"(Salbutamol)"|497|2
1998|1997||"250 dosis"|1|6|178|48|"'NULL'"|1|"(Salbutamol)"||2
1999|0|"BUXEND 40 mg comp. recub."||1|6|0|0|"'NULL'"|1|"(Febuxostat)"|218|1
2000|1999||"30 comp."|1|6|1|1|"'NULL'"|1|"(Febuxostat)"||1
2001|0|"BUXEND �80 mg comp. recub."||1|6|0|0|"'NULL'"|1|"(Febuxostat)"|218|1
2002|2001||"30 comp."|1|6|1|1|"'NULL'"|1|"(Febuxostat)"||1
2003|0|"BABYX 62.5"||1|6|0|0|"'NULL'"|1|"(Bosentan)"|96|2
2004|2003||"60 comp."|1|6|1|1|"'NULL'"|1|"(Bosentan)"||2
2005|0|"BABYX 125"||1|6|0|0|"'NULL'"|1|"(Bosentan)"|96|2
2006|2005||"60 comp."|1|6|1|1|"'NULL'"|1|"(Bosentan)"||2
2007|0|"BACITRACINA + NEOMICINA �ung."||1|6|0|0|"'NULL'"|1|"(Bacitracina//Neomicina)"|79|1
2008|2007||"15 g"|1|6|135|48|"'NULL'"|1|"(Bacitracina//Neomicina)"||1
2009|0|"BACTEROL �jarabe"||1|6|0|0|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"|512|2
2010|2009||"100 ml"|1|6|35|6|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"||2
2011|0|"BACTEROL FORTE jarabe"||1|6|0|0|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"|512|2
2012|2011||"100 ml"|1|6|35|6|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"||2
2013|0|"BACTEROL comp."||1|6|0|0|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"|512|2
2014|2013||"16 comp."|1|6|1|1|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"||2
2015|0|"BACTEROL FORTE comp."||1|6|0|0|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"|512|2
2016|2015||"20 comp."|1|6|1|1|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"||2
2017|0|"BACTAFUZ �2% crema d�rmica"||1|6|0|0|"'NULL'"|1|"(Acido Fusidico)"|19|2
2018|2017||"15 gr"|1|6|135|48|"'NULL'"|1|"(Acido Fusidico)"||2
2019|0|"BACTRIMEL 400/80 sol.inyect."||1|6|0|0|"'NULL'"|1|"(Sulfametoxazol//Trimetoprima)"|512|2
2021|0|"BAGOMICINA 50"||1|6|0|0|"'NULL'"|1|"(Minociclina)"|386|2
2022|2021||"30 comp."|1|6|1|1|"'NULL'"|1|"(Minociclina)"||2
2023|2021||"60 comp."|1|6|1|1|"'NULL'"|1|"(Minociclina)"||2
2024|0|"BAGOMICINA 100"||1|6|0|0|"'NULL'"|1|"(Minociclina)"|386|1
2025|2024||"15 comp."|1|6|1|1|"'NULL'"|1|"(Minociclina)"||1
2026|0|"BAGOMIGRAL 2.5 mg"||1|6|0|0|"'NULL'"|1|"(Naratriptan)"|401|1
2027|2026||"2 comp."|1|6|1|1|"'NULL'"|1|"(Naratriptan)"||1
2028|2026||"10 comp."|1|6|1|1|"'NULL'"|1|"(Naratriptan)"||1
2029|0|"BAGOVIT-A crema"||1|7|0|0|"'NULL'"|1|"(Sin Informaci�n)"|"Sin Info"|1
2030|2029||"100 g"|1|7|135|48|"'NULL'"|1|"(Sin Informaci�n)"||1
2031|0|"BAGOVIT-A emulsi�n"||1|7|0|0|"'NULL'"|1|"(Sin Informaci�n)"|"Sin Info"|1
2032|2031||"300 g"|1|7|135|48|"'NULL'"|1|"(Sin Informaci�n)"||1
2033|0|"BAJATEN-D 10/25 comp."||1|6|0|0|"'NULL'"|1|"(Enalapril//Hidroclorotiazida)"|180|9
2034|2033||"30 comp."|1|6|1|1|"'NULL'"|1|"(Enalapril//Hidroclorotiazida)"||9
2035|0|"BAJATEN-D 20/12,5 comp."||1|6|0|0|"'NULL'"|1|"(Enalapril//Hidroclorotiazida)"|180|1
2036|2035||"30 comp."|1|6|1|1|"'NULL'"|1|"(Enalapril//Hidroclorotiazida)"||1
2037|0|"BALSAN loci�n capilar 0,05 %"||1|6|0|0|"'NULL'"|1|"(Clobetasol)"|166|1
2038|2037||"40 ml"|1|6|135|6|"'NULL'"|1|"(Clobetasol)"||1
2039|0|"BALDMIN gotas orales"||1|1|0|0|"'NULL'"|1|"(Fenobarbital//Pipenzolato Bromuro)"|224|1
2040|2039||"15 ml"|1|1|55|6|"'NULL'"|1|"(Fenobarbital//Pipenzolato Bromuro)"||1
2041|0|"BALSAN �0,05% espuma t�pica"||1|6|0|0|"'NULL'"|1|"(Clobetasol)"|166|2
2042|2041||"40 ml"|1|6|135|48|"'NULL'"|1|"(Clobetazol )"||2
2043|0|"BANTIX 2% �ung. nasal"||1|6|0|0|"'NULL'"|1|"(Mupirocina)"|397|1
2044|2043||"3 gr"|1|6|227|1|"'NULL'"|1|"(Mupirocina)"||1
2045|0|"BACLAN 10 mg comp."||1|6|0|0|"'NULL'"|1|"(Baclofeno)"|80|1
2046|2045||"20 comp."|1|6|1|1|"'NULL'"|1|"(Baclofeno)"||1
2047|2045||"30 comp."|1|6|1|1|"'NULL'"|1|"(Baclofeno)"||1
2048|2045||"50 comp."|1|6|1|1|"'NULL'"|1|"(Baclofeno)"||1
2049|0|"BACLOFENO 10 mg comp."||1|6|0|0|"'NULL'"|1|"(Baclofeno)"|80|1
2050|2049||"50 comp."|1|6|1|1|"'NULL'"|1|"(Baclofeno)"||1
2051|0|"BALSAN 0.05% crema t�pica"||1|6|0|0|"'NULL'"|1|"(Clobetasol)"|166|2
2052|2051||"30 gr"|1|6|135|48|"'NULL'"|1|"(Clobetasol)"||2
2053|0|"BANTIX 2% crema d�rmica"||1|6|0|0|"'NULL'"|1|"(Mupirocina)"|397|1
2054|2053||"15 gr"|1|6|135|48|"'NULL'"|1|"(Mupirocina)"||1
2055|0|"BARACLUDE 0.5"||1|6|0|0|"'NULL'"|1|"(Entecavir)"|182|2
2056|2055||"30 comp."|1|6|1|1|"'NULL'"|1|"(Entecavir)"||2
2057|0|"BARACLUDE 1"||1|6|0|0|"'NULL'"|1|"(Entecavir)"|182|2
2058|2057||"30 comp."|1|6|1|1|"'NULL'"|1|"(Entecavir)"||2
2059|0|"BEMETAD �100 mg inyect."||1|6|0|0|"'NULL'"|1|"(Permetrexed)"|0|1
2060|2059||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(Permetrexed)"||1
2061|0|"BEMETAD �500 mg inyect."||1|6|0|0|"'NULL'"|1|"(Permetrexed)"|0|1
2062|2061||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(Permetrexed)"||1
2063|0|"BEMETAD RTU 100 mg/4 mL �inyect."||1|6|0|0|"'NULL'"|1|"(Permetrexed)"|0|1
2064|2063||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(Permetrexed)"||1
2065|0|"BEMETAD RTU �1000 mg / 40 mL �inyect."||1|6|0|0|"'NULL'"|1|"(Permetrexed)"|0|1
2066|2065||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(Permetrexed)"||1
2067|0|"BEMFOLA �300 U.I. (22 mcg)/0,5 mL sol.inyect."||1|6|0|0|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"|0|5
2068|2067||"10 plumas precargadas"|1|6|165|48|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"||5
2069|0|"BEMFOLA 75 UI/0,125 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"|0|5
2070|2069||"1 jeringa prellenada"|1|6|165|48|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"||5
2071|0|"BEMFOLA 450 UI/0,75 mL sol. inyect."||1|6|0|0|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"|0|5
2072|2071||"1 jeringa prellenada"|1|6|165|48|"'NULL'"|1|"(Folitropina Alfa Recombinante Humana)"||5
2073|0|"BERIPLEX P/N 1000 �inyect."||1|6|0|0|"'NULL'"|1|"(Factores de Coagulaci�n �IX, II, VII y X en combinaci�n)"|0|1
2074|2073||"1 Fco Amp 50 ml"|1|6|105|29|"'NULL'"|1|"(Factores De La Coagulaci�n Ix, Ii, Vii Y X En Combinaci�n)"||1
2075|0|"BERIPLEX P/N 250 inyect."||1|6|0|0|"'NULL'"|1|"(Factores de Coagulaci�n �IX, II, VII y X en combinaci�n)"|0|1
2076|2075||"1 Fco Amp 17 ml"|1|6|105|29|"'NULL'"|1|"(Factores De La Coagulaci�n Ix, Ii, Vii Y X En Combinaci�n)"||1
2077|0|"BERIPLEX P/N 500 �inyect."||1|6|0|0|"'NULL'"|1|"(Factores de Coagulaci�n �IX, II, VII y X en combinaci�n)"|0|1
2078|2077||"1 Fco Amp 30 ml"|1|6|105|29|"'NULL'"|1|"(Factores De La Coagulaci�n Ix, Ii, Vii Y X En Combinaci�n)"||1
2079|0|"BASAGLAR �100 U/mL inyect."||1|6|0|0|"'NULL'"|1|"(Insulina)"|308|5
2080|2079||"1 Inyector prellenado"|1|6|165|48|"'NULL'"|1|"(Insulina)"||5
2081|0|"BAUXOL jarabe adulto"||1|6|0|0|"'NULL'"|1|"(Bromhexina//Clofedanol)"|102|1
2082|2081||"100 ml"|1|6|35|6|"'NULL'"|1|"(Bromhexina//Clofedanol)"||1
2083|0|"BAUXOL jarabe infantil"||1|6|0|0|"'NULL'"|1|"(Bromhexina//Clofedanol)"|102|1
2084|2083||"100 ml"|1|6|35|6|"'NULL'"|1|"(Bromhexina//Clofedanol)"||1
2085|0|"BAVENCIO �20 mg/mL perfusi�n"||1|6|0|0|"'NULL'"|1|"(Avelumab)"|0|4
2086|2085||"1 Fco amp"|1|6|105|29|"'NULL'"|1|"(Avelumab)"||4
2087|0|"BAYCIP �500 mg"||1|4|0|0|"'NULL'"|1|"(Ciprofloxacino)"|154|2
2088|2087||"7 comp."|1|4|1|1|"'NULL'"|1|"(Ciprofloxacino)"||2
2089|0|"BAYCUTEN crema"||1|6|0|0|"'NULL'"|1|"(Clotrimazol//Dexametasona)"|197|1
2090|2089||"10 gr"|1|6|227|1|"'NULL'"|1|"(Clotrimazol//Dexametasona)"||1
2091|0|"BANTIX 2% �ung. d�rmico"||1|6|0|0|"'NULL'"|1|"(Mupirocina)"|397|2
2092|2091||"10 gr"|1|6|135|1|"'NULL'"|1|"(Mupirocina)"||2
2093|0|"PAROXETINA 20 mg comp."||1|6|0|0|"'NULL'"|1|"(Paroxetina)"|444|1
2094|2093||"30 comp."|1|6|1|1|"'NULL'"|1|"(Paroxetina)"||1
2095|0|"BEDIATIL �100 mg/5ml"||1|7|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|2
2096|2095||"100 ml"|1|7|35|6|"'NULL'"|1|"(Ibuprofeno)"||2
2097|0|"BEDIATIL FORTE 200 mg/5ml"||1|7|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1
2098|2097||"100 ml"|1|7|35|6|"'NULL'"|1|"(Ibuprofeno)"||1
2099|0|"BEDIATIL D 200/30"||1|7|0|0|"'NULL'"|1|"(Ibuprofeno//Pseudoefedrina)"|295|1
2100|2099||"20 comp."|1|7|1|1|"'NULL'"|1|"(Ibuprofeno//Pseudoefedrina)"||1
2101|0|"BEDIATIL �400 mg"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1
2102|2101||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ibuprofeno)"||1
2103|0|"BEDIATIL �D �FORTE 400/60"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno//Pseudoefedrina)"|295|1
2104|2103||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ibuprofeno//Pseudoefedrina)"||1
2105|0|"BECTAM 20 mg comp. �"||1|6|0|0|"'NULL'"|1|"(Paroxetina)"|444|2
2106|2105||"30 comp."|1|6|1|1|"'NULL'"|1|"(Paroxetina)"||2
2107|0|"BAVIRAC 300 mg comp."||1|6|0|0|"'NULL'"|1|"(Abacavir)"|1|2
2108|2107||"30 comp."|1|6|1|1|"'NULL'"|1|"(Abacavir)"||2
2109|0|"BAVIRAC 20 mg/mL sol. oral"||1|6|0|0|"'NULL'"|1|"(Abacavir)"|1|2
2110|2109||"240 ml"|1|6|35|6|"'NULL'"|1|"(Abacavir)"||2
2111|0|"BELARA"||1|6|0|0|"'NULL'"|1|"(Clormadinona//Etinilestradiol)"|187|1
2112|2111||"21 comp."|1|6|1|1|"'NULL'"|1|"(Clormadinona//Etinilestradiol)"||1
2113|0|"BELARA CD"||1|6|0|0|"'NULL'"|1|"(Clormadinona//Etinilestradiol)"|187|2
2114|2113||"28 comp."|1|6|1|1|"'NULL'"|1|"(Clormadinona//Etinilestradiol)"||2
2115|0|"BELOMET"||1|4|0|0|"'NULL'"|1|"(Beclometasona//Salbutamol)"|82|1
2116|2115||"200 dosis"|1|4|178|6|"'NULL'"|1|"(Beclometasona//Salbutamol)"||1
2117|0|"BEMETAD 1 gr sol.inyect."||1|6|0|0|"'NULL'"|1|"(Permetrexed)"|0|1
2118|2117||"1 fco vial"|1|6|105|11|"'NULL'"|1|"(Permetrexed)"||1
2119|0|"BENCILPENICILINA BENZATINA 1.200.000 U.I."||1|6|0|0|"'NULL'"|1|"(Penicilina G Benzatina)"|0|1
2120|2119||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Penicilina G Benzatina)"||1
2121|0|"BENCILPENICILINA �2.000.000 U.I."||1|6|0|0|"'NULL'"|1|"(Bencilpenicilina)"|0|1
2122|2121||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Bencilpenicilina)"||1
2123|0|"BENCILPENICILINA1.000.000 U.I."||1|6|0|0|"'NULL'"|1|"(Bencilpenicilina)"|0|1
2124|2123||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Bencilpenicilina)"||1
2125|0|"BENDORIN 160/4.5 S/CFC aerosol/inhalaci�n"||1|4|0|0|"'NULL'"|1|"(Budesonida//Formoterol)"|108|1
2126|2125||"120 dosis"|1|4|178|6|"'NULL'"|1|"(Budesonida//Formoterol)"||1
2127|0|"BENLYSTA 120 mg/5 ml sol. �perfusi�n"||1|6|0|0|"'NULL'"|1|"(Belimumab)"|0|4
2128|2127||"1 vial"|1|6|105|11|"'NULL'"|1|"(Belimumab)"||4
2129|0|"BENLYSTA 400 mg/ml sol.�perfusi�n"||1|6|0|0|"'NULL'"|1|"(Belimumab)"|0|4
2130|2129||"1 vial"|1|6|105|11|"'NULL'"|1|"(Belimumab)"||4
2131|0|"BENTLEY gel lubricante �ntimo"||1|7|0|0|"'NULL'"|1|"(Glicerina//Propilenglicol)"|0|2
2132|2131||"50 gr"|1|7|128|48|"'NULL'"|1|"(Glicerina//Propilenglicol)"||2
2133|2131||"3 sachet de 4.5"|1|7|128|48|"'NULL'"|1|"(Glicerina//Propilenglicol)"||2
2134|0|"BENZIHEX AC �10% �gel de base acuosa"||1|7|0|0|"'NULL'"|1|"(Peroxido de Benzoilo)"|0|1
2135|2134||"60 gr"|1|7|135|1|"'NULL'"|1|"(Peroxido De Benzoilo)"||1
2136|0|"BENVIR 0.5 mg"||1|6|0|0|"'NULL'"|1|"(Entecavir)"|182|2
2137|2136||"10 comp."|1|6|1|1|"'NULL'"|1|"(Entecavir)"||2
2138|0|"BENVIR 1 mg"||1|6|0|0|"'NULL'"|1|"(Entecavir)"|182|2
2139|2138||"10 comp."|1|6|1|1|"'NULL'"|1|"(Entecavir)"||2
2140|0|"BEOF sol.oft�lmica"||1|6|0|0|"'NULL'"|1|"(Betaxolol)"|89|1
2141|2140||"5 ml"|1|6|142|6|"'NULL'"|1|"(Betaxolol)"||1
2142|0|"BEPANTHOL 5% �ung."||1|7|0|0|"'NULL'"|1|"(Dexpantenol)"|0|1
2143|2142||"30 gr"|1|7|135|1|"'NULL'"|1|"(Dexpantenol)"||1
2144|0|"BEQUIUM"||1|5|0|0|"'NULL'"|1|"(Clorfenamina//Codeina//Pseudoefedrina)"|181|1
2145|2144||"120 ml"|1|5|35|6|"'NULL'"|1|"(Clorfenamina//Codeina//Pseudoefedrina)"||1
2146|0|"BEROCCA PLUS"||1|6|0|0|"'NULL'"|1|"(Polivitaminico//Minerales)"|458|1
2147|2146||"30 comp."|1|6|1|1|"'NULL'"|1|"(Polivitaminicos Y Minerales)"||1
2148|0|"BERODUAL HFA"||1|6|0|0|"'NULL'"|1|"(Bromuro de Ipratropio//Fenoterol)"|104|2
2149|2148||"200 dosis"|1|6|178|6|"'NULL'"|1|"(Bromuro De Ipratropio//Fenoterol)"||2
2150|0|"BERODUAL sol. para nebulizar"||1|6|0|0|"'NULL'"|1|"(Bromuro de Ipratropio//Fenoterol)"|104|1
2151|2150||"20 ml"|1|6|274|6|"'NULL'"|1|"(Bromuro De Ipratropio//Fenoterol)"||1
2152|0|"BERSEN 5 mg"||1|4|0|0|"'NULL'"|1|"(Prednisona)"|462|1
